x,y,Celltype,Celltype_asNumeric
8442.0,17501.0,T Helper Cell,9
8468.0,17508.0,T Helper Cell,9
8106.0,17512.0,T Helper Cell,9
8343.0,17521.0,T Helper Cell,9
8132.0,17522.0,T Helper Cell,9
8094.0,17529.0,T Helper Cell,9
8134.0,17538.0,T Helper Cell,9
8115.0,17536.0,T Helper Cell,9
8122.0,17551.0,T Helper Cell,9
8127.0,17569.0,T Helper Cell,9
8112.0,17586.0,T Helper Cell,9
8068.0,17587.0,T Helper Cell,9
7976.0,17511.0,T Helper Cell,9
7992.0,17515.0,T Helper Cell,9
8003.0,17527.0,T Helper Cell,9
8022.0,17545.0,T Helper Cell,9
7603.0,17559.0,T Helper Cell,9
7559.0,17564.0,T Helper Cell,9
7536.0,17566.0,T Helper Cell,9
8025.0,17569.0,T Helper Cell,9
7614.0,17569.0,T Helper Cell,9
7671.0,17570.0,T Helper Cell,9
7535.0,17573.0,T Helper Cell,9
7634.0,17577.0,T Helper Cell,9
7545.0,17581.0,T Helper Cell,9
7588.0,17577.0,T Helper Cell,9
7717.0,17592.0,T Helper Cell,9
8470.0,18453.0,T Helper Cell,9
8420.0,18467.0,T Helper Cell,9
8480.0,18488.0,T Helper Cell,9
8385.0,18496.0,T Helper Cell,9
7767.0,17594.0,T Helper Cell,9
7705.0,17602.0,T Helper Cell,9
7728.0,17608.0,T Helper Cell,9
7881.0,17621.0,T Helper Cell,9
7904.0,17622.0,T Helper Cell,9
7917.0,17623.0,T Helper Cell,9
7946.0,17644.0,T Helper Cell,9
7862.0,17639.0,T Helper Cell,9
7882.0,17642.0,T Helper Cell,9
7883.0,17651.0,T Helper Cell,9
7937.0,17657.0,T Helper Cell,9
7823.0,17670.0,T Helper Cell,9
7919.0,17665.0,T Helper Cell,9
7756.0,17674.0,T Helper Cell,9
7809.0,17675.0,T Helper Cell,9
7789.0,17677.0,T Helper Cell,9
7823.0,17683.0,T Helper Cell,9
7936.0,17679.0,T Helper Cell,9
8014.0,17682.0,T Helper Cell,9
7926.0,17685.0,T Helper Cell,9
8037.0,17692.0,T Helper Cell,9
8027.0,17700.0,T Helper Cell,9
7865.0,17722.0,T Helper Cell,9
7844.0,17723.0,T Helper Cell,9
7535.0,17724.0,T Helper Cell,9
7823.0,17731.0,T Helper Cell,9
7859.0,17737.0,T Helper Cell,9
7894.0,17741.0,T Helper Cell,9
7675.0,17745.0,T Helper Cell,9
7910.0,17755.0,T Helper Cell,9
7952.0,17762.0,T Helper Cell,9
7958.0,17771.0,T Helper Cell,9
7918.0,17772.0,T Helper Cell,9
7989.0,17774.0,T Helper Cell,9
8023.0,17779.0,T Helper Cell,9
7991.0,17782.0,T Helper Cell,9
7559.0,17801.0,T Helper Cell,9
7572.0,17802.0,T Helper Cell,9
7976.0,17803.0,T Helper Cell,9
