x,y,Celltype,Celltype_asNumeric
3539.0,39669.0,T Helper Cell,8
3538.0,39695.0,T Helper Cell,8
4065.0,39802.0,T Helper Cell,8
3847.0,39825.0,T Helper Cell,8
4033.0,39832.0,T Helper Cell,8
3578.0,39915.0,T Helper Cell,8
3679.0,39998.0,T Helper Cell,8
3600.0,40049.0,T Helper Cell,8
3584.0,40160.0,T Helper Cell,8
3581.0,40175.0,T Helper Cell,8
3866.0,40204.0,T Helper Cell,8
4222.0,39561.0,T Helper Cell,8
4406.0,39639.0,T Helper Cell,8
4176.0,39857.0,T Helper Cell,8
4451.0,39936.0,T Helper Cell,8
4345.0,40054.0,T Helper Cell,8
4323.0,40053.0,T Helper Cell,8
4182.0,40182.0,T Helper Cell,8
4167.0,40194.0,T Helper Cell,8
4078.0,40475.0,T Helper Cell,8
3731.0,40485.0,T Helper Cell,8
4075.0,40500.0,T Helper Cell,8
4094.0,39517.0,T Helper Cell,8
3795.0,39544.0,T Helper Cell,8
4112.0,39557.0,T Helper Cell,8
4132.0,39555.0,T Helper Cell,8
3520.0,39561.0,T Helper Cell,8
3533.0,39563.0,T Helper Cell,8
4112.0,39567.0,T Helper Cell,8
4159.0,39575.0,T Helper Cell,8
4142.0,39577.0,T Helper Cell,8
4136.0,39581.0,T Helper Cell,8
4153.0,39606.0,T Helper Cell,8
4121.0,39609.0,T Helper Cell,8
4132.0,39617.0,T Helper Cell,8
4114.0,39655.0,T Helper Cell,8
3813.0,39707.0,T Helper Cell,8
4100.0,39711.0,T Helper Cell,8
3794.0,39739.0,T Helper Cell,8
4074.0,39743.0,T Helper Cell,8
3802.0,39754.0,T Helper Cell,8
3507.0,39759.0,T Helper Cell,8
3787.0,39767.0,T Helper Cell,8
3523.0,39771.0,T Helper Cell,8
3789.0,39776.0,T Helper Cell,8
3521.0,39782.0,T Helper Cell,8
3584.0,39778.0,T Helper Cell,8
3571.0,39782.0,T Helper Cell,8
3759.0,39786.0,T Helper Cell,8
4054.0,39788.0,T Helper Cell,8
3812.0,39792.0,T Helper Cell,8
3586.0,39800.0,T Helper Cell,8
3806.0,39810.0,T Helper Cell,8
3511.0,39806.0,T Helper Cell,8
3800.0,39820.0,T Helper Cell,8
3561.0,39821.0,T Helper Cell,8
3580.0,39822.0,T Helper Cell,8
3595.0,39831.0,T Helper Cell,8
3631.0,39835.0,T Helper Cell,8
3641.0,39845.0,T Helper Cell,8
3572.0,39867.0,T Helper Cell,8
3610.0,39867.0,T Helper Cell,8
3584.0,39869.0,T Helper Cell,8
3562.0,39879.0,T Helper Cell,8
3648.0,39887.0,T Helper Cell,8
3593.0,39892.0,T Helper Cell,8
3809.0,39896.0,T Helper Cell,8
4061.0,39904.0,T Helper Cell,8
4041.0,39905.0,T Helper Cell,8
3664.0,39914.0,T Helper Cell,8
3814.0,39950.0,T Helper Cell,8
3657.0,39949.0,T Helper Cell,8
4051.0,39950.0,T Helper Cell,8
4058.0,39952.0,T Helper Cell,8
3799.0,39959.0,T Helper Cell,8
3812.0,39961.0,T Helper Cell,8
4053.0,39969.0,T Helper Cell,8
3793.0,40002.0,T Helper Cell,8
3820.0,40030.0,T Helper Cell,8
3807.0,40048.0,T Helper Cell,8
3820.0,40055.0,T Helper Cell,8
3835.0,40058.0,T Helper Cell,8
3831.0,40075.0,T Helper Cell,8
3852.0,40108.0,T Helper Cell,8
3931.0,40116.0,T Helper Cell,8
3909.0,40120.0,T Helper Cell,8
3937.0,40131.0,T Helper Cell,8
3909.0,40148.0,T Helper Cell,8
3908.0,40160.0,T Helper Cell,8
3896.0,40171.0,T Helper Cell,8
3911.0,40174.0,T Helper Cell,8
3570.0,40179.0,T Helper Cell,8
3899.0,40188.0,T Helper Cell,8
3884.0,40192.0,T Helper Cell,8
4149.0,40195.0,T Helper Cell,8
4117.0,40196.0,T Helper Cell,8
4136.0,40208.0,T Helper Cell,8
