x,y,Celltype,Celltype_asNumeric
20141.0,32577.0,T Helper Cell,10
19943.0,33307.0,T Helper Cell,10
19807.0,32581.0,Treg Cell,11
20130.0,32791.0,Cytotoxic T Cell,2
19668.0,32968.0,Cytotoxic T Cell,2
19799.0,33315.0,Cytotoxic T Cell,2
19817.0,33325.0,Cytotoxic T Cell,2
20316.0,32777.0,Cytotoxic T Cell,2
20111.0,32869.0,Cytotoxic T Cell,2
20435.0,33030.0,Cytotoxic T Cell,2
19892.0,32921.0,Cytotoxic T Cell,2
19678.0,32969.0,Cytotoxic T Cell,2
19681.0,32989.0,Cytotoxic T Cell,2
20396.0,33250.0,Cytotoxic T Cell,2
20436.0,33420.0,Cytotoxic T Cell,2
19760.0,33147.0,Cytotoxic T Cell,2
19875.0,33282.0,Cytotoxic T Cell,2
19676.0,33459.0,Cytotoxic T Cell,2
19686.0,33488.0,Cytotoxic T Cell,2
20180.0,32568.0,Macrophage,5
20179.0,32639.0,Macrophage,5
20160.0,32663.0,Macrophage,5
20347.0,32747.0,Macrophage,5
20130.0,32791.0,Macrophage,5
20155.0,32801.0,Macrophage,5
20146.0,32808.0,Macrophage,5
20160.0,32821.0,Macrophage,5
20375.0,33041.0,Macrophage,5
19992.0,33074.0,Macrophage,5
19602.0,32725.0,Macrophage,5
19665.0,32858.0,Macrophage,5
20230.0,33407.0,Macrophage,5
20212.0,33417.0,Macrophage,5
20205.0,33439.0,Macrophage,5
19781.0,33284.0,Macrophage,5
20456.0,32504.0,Macrophage,5
20318.0,32518.0,Macrophage,5
19920.0,32518.0,Macrophage,5
20099.0,32522.0,Macrophage,5
20082.0,32533.0,Macrophage,5
20295.0,32535.0,Macrophage,5
20099.0,32539.0,Macrophage,5
20314.0,32546.0,Macrophage,5
20127.0,32556.0,Macrophage,5
20242.0,32554.0,Macrophage,5
20154.0,32558.0,Macrophage,5
20281.0,32557.0,Macrophage,5
20099.0,32559.0,Macrophage,5
20295.0,32563.0,Macrophage,5
19936.0,32573.0,Macrophage,5
20141.0,32577.0,Macrophage,5
20283.0,32578.0,Macrophage,5
20053.0,32584.0,Macrophage,5
20163.0,32584.0,Macrophage,5
20082.0,32587.0,Macrophage,5
20129.0,32604.0,Macrophage,5
20074.0,32616.0,Macrophage,5
20059.0,32621.0,Macrophage,5
20280.0,32627.0,Macrophage,5
20124.0,32634.0,Macrophage,5
20161.0,32635.0,Macrophage,5
20040.0,32639.0,Macrophage,5
20074.0,32639.0,Macrophage,5
19962.0,32646.0,Macrophage,5
20064.0,32657.0,Macrophage,5
20085.0,32663.0,Macrophage,5
20132.0,32667.0,Macrophage,5
20274.0,32669.0,Macrophage,5
20256.0,32674.0,Macrophage,5
20059.0,32680.0,Macrophage,5
20398.0,32679.0,Macrophage,5
20135.0,32685.0,Macrophage,5
20367.0,32684.0,Macrophage,5
20349.0,32686.0,Macrophage,5
20407.0,32696.0,Macrophage,5
20031.0,32702.0,Macrophage,5
20396.0,32701.0,Macrophage,5
20364.0,32708.0,Macrophage,5
20092.0,32702.0,Macrophage,5
20133.0,32702.0,Macrophage,5
20275.0,32704.0,Macrophage,5
20253.0,32707.0,Macrophage,5
20274.0,32719.0,Macrophage,5
20071.0,32718.0,Macrophage,5
20121.0,32724.0,Macrophage,5
20279.0,32725.0,Macrophage,5
20363.0,32723.0,Macrophage,5
19961.0,32724.0,Macrophage,5
20015.0,32736.0,Macrophage,5
20169.0,32738.0,Macrophage,5
20063.0,32737.0,Macrophage,5
20151.0,32744.0,Macrophage,5
20078.0,32747.0,Macrophage,5
20137.0,32748.0,Macrophage,5
20270.0,32748.0,Macrophage,5
20167.0,32755.0,Macrophage,5
20062.0,32756.0,Macrophage,5
20140.0,32766.0,Macrophage,5
20097.0,32768.0,Macrophage,5
20129.0,32773.0,Macrophage,5
20106.0,32785.0,Macrophage,5
20154.0,32783.0,Macrophage,5
20067.0,32789.0,Macrophage,5
20116.0,32799.0,Macrophage,5
20283.0,32810.0,Macrophage,5
20080.0,32804.0,Macrophage,5
20134.0,32808.0,Macrophage,5
20140.0,32828.0,Macrophage,5
20280.0,32840.0,Macrophage,5
20076.0,32841.0,Macrophage,5
20137.0,32851.0,Macrophage,5
20198.0,32853.0,Macrophage,5
20269.0,32861.0,Macrophage,5
20111.0,32869.0,Macrophage,5
20144.0,32866.0,Macrophage,5
20171.0,32869.0,Macrophage,5
20129.0,32882.0,Macrophage,5
20256.0,32889.0,Macrophage,5
20275.0,32888.0,Macrophage,5
20239.0,32895.0,Macrophage,5
20210.0,32903.0,Macrophage,5
20257.0,32906.0,Macrophage,5
20139.0,32902.0,Macrophage,5
20177.0,32909.0,Macrophage,5
20295.0,32909.0,Macrophage,5
19919.0,32912.0,Macrophage,5
20295.0,32930.0,Macrophage,5
19939.0,32940.0,Macrophage,5
20306.0,32952.0,Macrophage,5
20292.0,32953.0,Macrophage,5
19956.0,32964.0,Macrophage,5
19938.0,32973.0,Macrophage,5
19965.0,32982.0,Macrophage,5
20480.0,32989.0,Macrophage,5
20450.0,33006.0,Macrophage,5
20435.0,33030.0,Macrophage,5
20460.0,33034.0,Macrophage,5
20401.0,33050.0,Macrophage,5
20390.0,33058.0,Macrophage,5
19778.0,32500.0,Macrophage,5
19799.0,32502.0,Macrophage,5
19892.0,32503.0,Macrophage,5
19523.0,32509.0,Macrophage,5
19706.0,32521.0,Macrophage,5
19538.0,32526.0,Macrophage,5
19778.0,32528.0,Macrophage,5
19512.0,32529.0,Macrophage,5
19882.0,32529.0,Macrophage,5
19903.0,32535.0,Macrophage,5
19747.0,32530.0,Macrophage,5
19728.0,32533.0,Macrophage,5
19784.0,32540.0,Macrophage,5
19720.0,32544.0,Macrophage,5
19681.0,32545.0,Macrophage,5
19860.0,32545.0,Macrophage,5
19819.0,32551.0,Macrophage,5
19769.0,32547.0,Macrophage,5
19882.0,32551.0,Macrophage,5
19730.0,32553.0,Macrophage,5
19512.0,32553.0,Macrophage,5
19557.0,32553.0,Macrophage,5
19696.0,32553.0,Macrophage,5
19876.0,32563.0,Macrophage,5
19674.0,32564.0,Macrophage,5
19800.0,32563.0,Macrophage,5
19677.0,32575.0,Macrophage,5
19775.0,32572.0,Macrophage,5
19598.0,32572.0,Macrophage,5
19846.0,32573.0,Macrophage,5
19921.0,32573.0,Macrophage,5
19622.0,32574.0,Macrophage,5
19719.0,32575.0,Macrophage,5
19698.0,32576.0,Macrophage,5
19807.0,32581.0,Macrophage,5
19663.0,32578.0,Macrophage,5
19796.0,32582.0,Macrophage,5
19740.0,32584.0,Macrophage,5
19675.0,32589.0,Macrophage,5
19622.0,32587.0,Macrophage,5
19775.0,32593.0,Macrophage,5
19537.0,32592.0,Macrophage,5
19650.0,32598.0,Macrophage,5
19801.0,32602.0,Macrophage,5
19571.0,32605.0,Macrophage,5
19593.0,32606.0,Macrophage,5
19728.0,32606.0,Macrophage,5
19631.0,32610.0,Macrophage,5
19895.0,32609.0,Macrophage,5
19706.0,32610.0,Macrophage,5
19660.0,32611.0,Macrophage,5
19516.0,32612.0,Macrophage,5
19540.0,32614.0,Macrophage,5
19839.0,32613.0,Macrophage,5
19815.0,32615.0,Macrophage,5
19761.0,32619.0,Macrophage,5
19781.0,32624.0,Macrophage,5
19546.0,32631.0,Macrophage,5
19622.0,32627.0,Macrophage,5
19867.0,32628.0,Macrophage,5
19643.0,32631.0,Macrophage,5
19525.0,32634.0,Macrophage,5
19558.0,32636.0,Macrophage,5
19769.0,32639.0,Macrophage,5
19845.0,32638.0,Macrophage,5
19542.0,32641.0,Macrophage,5
19788.0,32643.0,Macrophage,5
19824.0,32646.0,Macrophage,5
19661.0,32648.0,Macrophage,5
19674.0,32649.0,Macrophage,5
19640.0,32653.0,Macrophage,5
19619.0,32655.0,Macrophage,5
19853.0,32659.0,Macrophage,5
19838.0,32659.0,Macrophage,5
19783.0,32662.0,Macrophage,5
19807.0,32661.0,Macrophage,5
19759.0,32662.0,Macrophage,5
19669.0,32670.0,Macrophage,5
19713.0,32669.0,Macrophage,5
19623.0,32677.0,Macrophage,5
19774.0,32679.0,Macrophage,5
19822.0,32679.0,Macrophage,5
19712.0,32692.0,Macrophage,5
19793.0,32694.0,Macrophage,5
19754.0,32696.0,Macrophage,5
19631.0,32701.0,Macrophage,5
19826.0,32707.0,Macrophage,5
19701.0,32709.0,Macrophage,5
19671.0,32710.0,Macrophage,5
19784.0,32714.0,Macrophage,5
19731.0,32713.0,Macrophage,5
19694.0,32725.0,Macrophage,5
19755.0,32719.0,Macrophage,5
19547.0,32720.0,Macrophage,5
19649.0,32721.0,Macrophage,5
19774.0,32727.0,Macrophage,5
19676.0,32739.0,Macrophage,5
19739.0,32743.0,Macrophage,5
19690.0,32747.0,Macrophage,5
19762.0,32742.0,Macrophage,5
19638.0,32743.0,Macrophage,5
19564.0,32745.0,Macrophage,5
19676.0,32761.0,Macrophage,5
19766.0,32765.0,Macrophage,5
19693.0,32769.0,Macrophage,5
19514.0,32768.0,Macrophage,5
19725.0,32770.0,Macrophage,5
19634.0,32774.0,Macrophage,5
19744.0,32779.0,Macrophage,5
19796.0,32778.0,Macrophage,5
19500.0,32781.0,Macrophage,5
19634.0,32792.0,Macrophage,5
19526.0,32798.0,Macrophage,5
19746.0,32805.0,Macrophage,5
19549.0,32813.0,Macrophage,5
19762.0,32811.0,Macrophage,5
19508.0,32814.0,Macrophage,5
19537.0,32825.0,Macrophage,5
19759.0,32832.0,Macrophage,5
19521.0,32836.0,Macrophage,5
19552.0,32840.0,Macrophage,5
19540.0,32863.0,Macrophage,5
19567.0,32872.0,Macrophage,5
19531.0,32882.0,Macrophage,5
19539.0,32885.0,Macrophage,5
19549.0,32896.0,Macrophage,5
19508.0,32912.0,Macrophage,5
19563.0,32918.0,Macrophage,5
19549.0,32925.0,Macrophage,5
19529.0,32925.0,Macrophage,5
19509.0,32933.0,Macrophage,5
19586.0,32944.0,Macrophage,5
19545.0,32950.0,Macrophage,5
19561.0,32956.0,Macrophage,5
19528.0,32983.0,Macrophage,5
