x,y,Celltype,Celltype_asNumeric
11246.0,21509.0,T Helper Cell,9
11252.0,21532.0,T Helper Cell,9
11249.0,21549.0,T Helper Cell,9
11271.0,21564.0,T Helper Cell,9
11180.0,21507.0,T Helper Cell,9
11078.0,21515.0,T Helper Cell,9
11179.0,21534.0,T Helper Cell,9
11144.0,21547.0,T Helper Cell,9
10818.0,21546.0,T Helper Cell,9
11219.0,21555.0,T Helper Cell,9
10548.0,21563.0,T Helper Cell,9
10787.0,21564.0,T Helper Cell,9
10804.0,21564.0,T Helper Cell,9
10530.0,21566.0,T Helper Cell,9
11201.0,21564.0,T Helper Cell,9
10816.0,21572.0,T Helper Cell,9
10591.0,21576.0,T Helper Cell,9
10935.0,21577.0,T Helper Cell,9
10949.0,21579.0,T Helper Cell,9
10546.0,21579.0,T Helper Cell,9
10609.0,21578.0,T Helper Cell,9
10965.0,21582.0,T Helper Cell,9
10971.0,21581.0,T Helper Cell,9
10524.0,21587.0,T Helper Cell,9
10620.0,21603.0,T Helper Cell,9
10545.0,21601.0,T Helper Cell,9
10997.0,21611.0,T Helper Cell,9
10696.0,21612.0,T Helper Cell,9
10709.0,21645.0,T Helper Cell,9
11132.0,21665.0,T Helper Cell,9
10722.0,21666.0,T Helper Cell,9
10711.0,21672.0,T Helper Cell,9
10735.0,21675.0,T Helper Cell,9
10726.0,21680.0,T Helper Cell,9
10793.0,21680.0,T Helper Cell,9
10888.0,21683.0,T Helper Cell,9
10754.0,21700.0,T Helper Cell,9
10887.0,21704.0,T Helper Cell,9
10973.0,21710.0,T Helper Cell,9
11003.0,21706.0,T Helper Cell,9
10974.0,21713.0,T Helper Cell,9
11040.0,21708.0,T Helper Cell,9
10962.0,21712.0,T Helper Cell,9
10909.0,21722.0,T Helper Cell,9
10898.0,21720.0,T Helper Cell,9
10546.0,21726.0,T Helper Cell,9
10898.0,21740.0,T Helper Cell,9
10532.0,21742.0,T Helper Cell,9
10514.0,21744.0,T Helper Cell,9
10532.0,21746.0,T Helper Cell,9
10553.0,21750.0,T Helper Cell,9
10523.0,21761.0,T Helper Cell,9
10539.0,21783.0,T Helper Cell,9
11191.0,21787.0,T Helper Cell,9
10548.0,21784.0,T Helper Cell,9
10545.0,21800.0,T Helper Cell,9
10563.0,21805.0,T Helper Cell,9
10509.0,21806.0,T Helper Cell,9
10618.0,21826.0,T Helper Cell,9
