x,y,Celltype,Celltype_asNumeric
14880.0,13619.0,Macrophage,5
15059.0,13622.0,Macrophage,5
14933.0,13627.0,Macrophage,5
14906.0,13634.0,Macrophage,5
14742.0,13746.0,Macrophage,5
14779.0,13768.0,Macrophage,5
14775.0,13797.0,Macrophage,5
14747.0,13807.0,Macrophage,5
14629.0,13827.0,Macrophage,5
14785.0,13825.0,Macrophage,5
14745.0,13838.0,Macrophage,5
14634.0,13850.0,Macrophage,5
15449.0,14040.0,Macrophage,5
15482.0,14040.0,Macrophage,5
15464.0,14044.0,Macrophage,5
14839.0,14342.0,Macrophage,5
14844.0,14357.0,Macrophage,5
14773.0,14449.0,Macrophage,5
14764.0,14460.0,Macrophage,5
14745.0,14466.0,Macrophage,5
15143.0,13552.0,Neutrophil,6
15225.0,13558.0,Neutrophil,6
15227.0,13610.0,Neutrophil,6
15088.0,13618.0,Neutrophil,6
15112.0,13795.0,Neutrophil,6
14998.0,13796.0,Neutrophil,6
15113.0,13802.0,Neutrophil,6
15000.0,13811.0,Neutrophil,6
14590.0,14015.0,Neutrophil,6
14571.0,14025.0,Neutrophil,6
15209.0,14026.0,Neutrophil,6
15193.0,14032.0,Neutrophil,6
14557.0,14036.0,Neutrophil,6
14559.0,14052.0,Neutrophil,6
14586.0,14046.0,Neutrophil,6
14573.0,14050.0,Neutrophil,6
14586.0,14061.0,Neutrophil,6
14557.0,14066.0,Neutrophil,6
15225.0,14067.0,Neutrophil,6
14703.0,14097.0,Neutrophil,6
14723.0,14099.0,Neutrophil,6
14722.0,14105.0,Neutrophil,6
14712.0,14116.0,Neutrophil,6
15194.0,14153.0,Neutrophil,6
15189.0,14169.0,Neutrophil,6
14543.0,14169.0,Neutrophil,6
15413.0,13755.0,Neutrophil,6
15313.0,13860.0,Neutrophil,6
15035.0,13684.0,Neutrophil,6
15149.0,13501.0,Epithelium (imm),3
15173.0,13503.0,Epithelium (imm),3
14930.0,13504.0,Epithelium (imm),3
14993.0,13504.0,Epithelium (imm),3
15182.0,13501.0,Epithelium (imm),3
15230.0,13505.0,Epithelium (imm),3
14951.0,13503.0,Epithelium (imm),3
14538.0,13503.0,Epithelium (imm),3
14788.0,13510.0,Epithelium (imm),3
15064.0,13510.0,Epithelium (imm),3
15140.0,13506.0,Epithelium (imm),3
15212.0,13507.0,Epithelium (imm),3
14757.0,13506.0,Epithelium (imm),3
14910.0,13510.0,Epithelium (imm),3
14503.0,13506.0,Epithelium (imm),3
15077.0,13511.0,Epithelium (imm),3
15089.0,13511.0,Epithelium (imm),3
14557.0,13507.0,Epithelium (imm),3
14807.0,13510.0,Epithelium (imm),3
14514.0,13508.0,Epithelium (imm),3
14859.0,13511.0,Epithelium (imm),3
15022.0,13509.0,Epithelium (imm),3
15105.0,13512.0,Epithelium (imm),3
14730.0,13510.0,Epithelium (imm),3
14821.0,13514.0,Epithelium (imm),3
14955.0,13516.0,Epithelium (imm),3
15168.0,13516.0,Epithelium (imm),3
15178.0,13521.0,Epithelium (imm),3
14902.0,13521.0,Epithelium (imm),3
15148.0,13519.0,Epithelium (imm),3
14883.0,13523.0,Epithelium (imm),3
15232.0,13522.0,Epithelium (imm),3
14547.0,13525.0,Epithelium (imm),3
14768.0,13524.0,Epithelium (imm),3
15274.0,13520.0,Epithelium (imm),3
14521.0,13520.0,Epithelium (imm),3
14820.0,13527.0,Epithelium (imm),3
15043.0,13520.0,Epithelium (imm),3
15065.0,13525.0,Epithelium (imm),3
14540.0,13526.0,Epithelium (imm),3
15216.0,13527.0,Epithelium (imm),3
14993.0,13527.0,Epithelium (imm),3
15168.0,13529.0,Epithelium (imm),3
14724.0,13528.0,Epithelium (imm),3
14787.0,13525.0,Epithelium (imm),3
15019.0,13530.0,Epithelium (imm),3
15159.0,13532.0,Epithelium (imm),3
15233.0,13527.0,Epithelium (imm),3
14840.0,13527.0,Epithelium (imm),3
15199.0,13527.0,Epithelium (imm),3
14568.0,13528.0,Epithelium (imm),3
14749.0,13528.0,Epithelium (imm),3
14509.0,13533.0,Epithelium (imm),3
15121.0,13531.0,Epithelium (imm),3
15142.0,13531.0,Epithelium (imm),3
15177.0,13534.0,Epithelium (imm),3
14535.0,13537.0,Epithelium (imm),3
14898.0,13534.0,Epithelium (imm),3
15095.0,13531.0,Epithelium (imm),3
14794.0,13537.0,Epithelium (imm),3
14974.0,13532.0,Epithelium (imm),3
14817.0,13540.0,Epithelium (imm),3
14954.0,13537.0,Epithelium (imm),3
15191.0,13535.0,Epithelium (imm),3
15058.0,13542.0,Epithelium (imm),3
14750.0,13544.0,Epithelium (imm),3
14769.0,13539.0,Epithelium (imm),3
15141.0,13545.0,Epithelium (imm),3
14553.0,13546.0,Epithelium (imm),3
15122.0,13547.0,Epithelium (imm),3
15237.0,13543.0,Epithelium (imm),3
15221.0,13547.0,Epithelium (imm),3
14706.0,13544.0,Epithelium (imm),3
14790.0,13546.0,Epithelium (imm),3
15143.0,13552.0,Epithelium (imm),3
15203.0,13548.0,Epithelium (imm),3
14551.0,13554.0,Epithelium (imm),3
14846.0,13548.0,Epithelium (imm),3
14740.0,13549.0,Epithelium (imm),3
14798.0,13552.0,Epithelium (imm),3
15253.0,13550.0,Epithelium (imm),3
14520.0,13553.0,Epithelium (imm),3
14812.0,13556.0,Epithelium (imm),3
15225.0,13558.0,Epithelium (imm),3
14764.0,13558.0,Epithelium (imm),3
14968.0,13559.0,Epithelium (imm),3
15128.0,13558.0,Epithelium (imm),3
14815.0,13557.0,Epithelium (imm),3
