x,y,Celltype,Celltype_asNumeric
12459.0,12618.0,T Helper Cell,10
12470.0,12643.0,T Helper Cell,10
12443.0,12644.0,T Helper Cell,10
12317.0,12533.0,T Helper Cell,10
12337.0,12558.0,T Helper Cell,10
11837.0,12622.0,T Helper Cell,10
12292.0,12644.0,T Helper Cell,10
11879.0,12652.0,T Helper Cell,10
11840.0,12687.0,T Helper Cell,10
11837.0,12698.0,T Helper Cell,10
11943.0,12731.0,T Helper Cell,10
11956.0,12750.0,T Helper Cell,10
11935.0,12749.0,T Helper Cell,10
11999.0,12814.0,T Helper Cell,10
11534.0,13399.0,T Helper Cell,10
11633.0,12964.0,T Helper Cell,10
12003.0,13041.0,T Helper Cell,10
12130.0,13320.0,T Helper Cell,10
12299.0,13322.0,T Helper Cell,10
11981.0,13322.0,T Helper Cell,10
11864.0,13420.0,T Helper Cell,10
12212.0,13470.0,T Helper Cell,10
12482.0,13075.0,T Helper Cell,10
12401.0,12548.0,T Helper Cell,10
12373.0,12553.0,T Helper Cell,10
11851.0,12505.0,T Helper Cell,10
11750.0,12516.0,T Helper Cell,10
11871.0,12535.0,T Helper Cell,10
11751.0,12537.0,T Helper Cell,10
11870.0,12547.0,T Helper Cell,10
11880.0,12558.0,T Helper Cell,10
11903.0,12566.0,T Helper Cell,10
11913.0,12592.0,T Helper Cell,10
11830.0,12613.0,T Helper Cell,10
11977.0,12650.0,T Helper Cell,10
11902.0,12665.0,T Helper Cell,10
11982.0,12672.0,T Helper Cell,10
11926.0,12674.0,T Helper Cell,10
11971.0,12680.0,T Helper Cell,10
11957.0,12682.0,T Helper Cell,10
11952.0,12696.0,T Helper Cell,10
12007.0,12697.0,T Helper Cell,10
11977.0,12701.0,T Helper Cell,10
11965.0,12701.0,T Helper Cell,10
12017.0,12702.0,T Helper Cell,10
12047.0,12714.0,T Helper Cell,10
12034.0,12720.0,T Helper Cell,10
11939.0,12719.0,T Helper Cell,10
11960.0,12727.0,T Helper Cell,10
12045.0,12737.0,T Helper Cell,10
12060.0,12754.0,T Helper Cell,10
12028.0,12762.0,T Helper Cell,10
12069.0,12767.0,T Helper Cell,10
12082.0,12787.0,T Helper Cell,10
12035.0,12790.0,T Helper Cell,10
12083.0,12807.0,T Helper Cell,10
12095.0,12808.0,T Helper Cell,10
11524.0,13297.0,T Helper Cell,10
11549.0,13323.0,T Helper Cell,10
11572.0,13336.0,T Helper Cell,10
11562.0,13357.0,T Helper Cell,10
11573.0,13387.0,T Helper Cell,10
12129.0,12824.0,T Helper Cell,10
12060.0,12825.0,T Helper Cell,10
12079.0,12825.0,T Helper Cell,10
12153.0,12832.0,T Helper Cell,10
12140.0,12849.0,T Helper Cell,10
12097.0,12861.0,T Helper Cell,10
12176.0,12858.0,T Helper Cell,10
12149.0,12866.0,T Helper Cell,10
12177.0,12879.0,T Helper Cell,10
12129.0,12893.0,T Helper Cell,10
12283.0,12896.0,T Helper Cell,10
12192.0,12917.0,T Helper Cell,10
12173.0,12919.0,T Helper Cell,10
12210.0,12924.0,T Helper Cell,10
12167.0,12932.0,T Helper Cell,10
12192.0,12935.0,T Helper Cell,10
12175.0,12941.0,T Helper Cell,10
12310.0,12947.0,T Helper Cell,10
12215.0,12958.0,T Helper Cell,10
12188.0,12971.0,T Helper Cell,10
12362.0,12978.0,T Helper Cell,10
12338.0,12977.0,T Helper Cell,10
12377.0,12979.0,T Helper Cell,10
12240.0,12988.0,T Helper Cell,10
12363.0,12991.0,T Helper Cell,10
12337.0,12993.0,T Helper Cell,10
12211.0,12995.0,T Helper Cell,10
12170.0,12992.0,T Helper Cell,10
12347.0,12997.0,T Helper Cell,10
12230.0,12998.0,T Helper Cell,10
12213.0,13009.0,T Helper Cell,10
12264.0,13040.0,T Helper Cell,10
12375.0,13048.0,T Helper Cell,10
