x,y,Celltype,Celltype_asNumeric
20185.0,21581.0,T Helper Cell,10
20197.0,21593.0,T Helper Cell,10
19965.0,21796.0,T Helper Cell,10
20089.0,21798.0,T Helper Cell,10
20497.0,21855.0,T Helper Cell,10
20084.0,22003.0,T Helper Cell,10
20072.0,22128.0,T Helper Cell,10
20072.0,22141.0,T Helper Cell,10
20133.0,22157.0,T Helper Cell,10
20110.0,22215.0,T Helper Cell,10
20324.0,22284.0,T Helper Cell,10
20086.0,22346.0,T Helper Cell,10
19619.0,21855.0,T Helper Cell,10
19511.0,22410.0,T Helper Cell,10
20075.0,21513.0,T Helper Cell,10
20042.0,21555.0,T Helper Cell,10
20121.0,21569.0,T Helper Cell,10
19989.0,21604.0,T Helper Cell,10
20075.0,21611.0,T Helper Cell,10
20049.0,21615.0,T Helper Cell,10
20019.0,21614.0,T Helper Cell,10
20097.0,21614.0,T Helper Cell,10
20054.0,21627.0,T Helper Cell,10
20092.0,21633.0,T Helper Cell,10
20104.0,21635.0,T Helper Cell,10
20033.0,21640.0,T Helper Cell,10
20090.0,21651.0,T Helper Cell,10
20065.0,21651.0,T Helper Cell,10
20044.0,21656.0,T Helper Cell,10
20105.0,21658.0,T Helper Cell,10
20065.0,21685.0,T Helper Cell,10
20087.0,21686.0,T Helper Cell,10
20118.0,21693.0,T Helper Cell,10
20164.0,21702.0,T Helper Cell,10
20078.0,21703.0,T Helper Cell,10
20116.0,21711.0,T Helper Cell,10
20083.0,21714.0,T Helper Cell,10
20118.0,21726.0,T Helper Cell,10
20051.0,21730.0,T Helper Cell,10
20040.0,21733.0,T Helper Cell,10
20121.0,21742.0,T Helper Cell,10
20106.0,21746.0,T Helper Cell,10
20030.0,21749.0,T Helper Cell,10
20085.0,21761.0,T Helper Cell,10
20058.0,21773.0,T Helper Cell,10
20076.0,21780.0,T Helper Cell,10
20055.0,21787.0,T Helper Cell,10
20023.0,21810.0,T Helper Cell,10
20045.0,21819.0,T Helper Cell,10
20057.0,21826.0,T Helper Cell,10
20045.0,21830.0,T Helper Cell,10
20026.0,21832.0,T Helper Cell,10
20063.0,21837.0,T Helper Cell,10
20042.0,21843.0,T Helper Cell,10
20037.0,21854.0,T Helper Cell,10
20025.0,21864.0,T Helper Cell,10
20053.0,21866.0,T Helper Cell,10
20063.0,21878.0,T Helper Cell,10
20026.0,21883.0,T Helper Cell,10
20026.0,21903.0,T Helper Cell,10
20037.0,21920.0,T Helper Cell,10
20038.0,21928.0,T Helper Cell,10
20024.0,21924.0,T Helper Cell,10
20069.0,21935.0,T Helper Cell,10
20021.0,21946.0,T Helper Cell,10
20016.0,21960.0,T Helper Cell,10
20074.0,21990.0,T Helper Cell,10
20047.0,21990.0,T Helper Cell,10
20064.0,21996.0,T Helper Cell,10
20063.0,22017.0,T Helper Cell,10
20015.0,22018.0,T Helper Cell,10
20033.0,22021.0,T Helper Cell,10
20063.0,22029.0,T Helper Cell,10
20046.0,22035.0,T Helper Cell,10
20066.0,22042.0,T Helper Cell,10
20037.0,22046.0,T Helper Cell,10
20013.0,22055.0,T Helper Cell,10
20108.0,22060.0,T Helper Cell,10
20095.0,22084.0,T Helper Cell,10
20041.0,22122.0,T Helper Cell,10
20021.0,22133.0,T Helper Cell,10
20041.0,22151.0,T Helper Cell,10
20039.0,22164.0,T Helper Cell,10
20008.0,22170.0,T Helper Cell,10
20054.0,22174.0,T Helper Cell,10
20004.0,22185.0,T Helper Cell,10
20021.0,22188.0,T Helper Cell,10
20076.0,22214.0,T Helper Cell,10
19994.0,22217.0,T Helper Cell,10
20099.0,22219.0,T Helper Cell,10
20051.0,22220.0,T Helper Cell,10
20010.0,22223.0,T Helper Cell,10
20030.0,22237.0,T Helper Cell,10
20068.0,22247.0,T Helper Cell,10
20020.0,22253.0,T Helper Cell,10
20039.0,22261.0,T Helper Cell,10
20381.0,22265.0,T Helper Cell,10
20055.0,22260.0,T Helper Cell,10
20068.0,22266.0,T Helper Cell,10
20499.0,22268.0,T Helper Cell,10
20008.0,22268.0,T Helper Cell,10
20028.0,22275.0,T Helper Cell,10
19968.0,22282.0,T Helper Cell,10
20496.0,22284.0,T Helper Cell,10
20049.0,22288.0,T Helper Cell,10
19988.0,22296.0,T Helper Cell,10
20034.0,22298.0,T Helper Cell,10
20425.0,22296.0,T Helper Cell,10
20011.0,22298.0,T Helper Cell,10
19999.0,22305.0,T Helper Cell,10
19976.0,22309.0,T Helper Cell,10
19998.0,22319.0,T Helper Cell,10
20050.0,22329.0,T Helper Cell,10
20016.0,22330.0,T Helper Cell,10
20033.0,22337.0,T Helper Cell,10
20332.0,22344.0,T Helper Cell,10
20360.0,22349.0,T Helper Cell,10
20311.0,22343.0,T Helper Cell,10
19997.0,22345.0,T Helper Cell,10
20387.0,22345.0,T Helper Cell,10
20015.0,22350.0,T Helper Cell,10
20431.0,22359.0,T Helper Cell,10
20469.0,22355.0,T Helper Cell,10
20329.0,22363.0,T Helper Cell,10
20365.0,22364.0,T Helper Cell,10
