x,y,Celltype,Celltype_asNumeric
4659.0,39736.0,T Helper Cell,8
4518.0,39918.0,T Helper Cell,8
4906.0,40069.0,T Helper Cell,8
4926.0,40075.0,T Helper Cell,8
4663.0,40128.0,T Helper Cell,8
5159.0,39681.0,T Helper Cell,8
5149.0,39683.0,T Helper Cell,8
5451.0,39811.0,T Helper Cell,8
5005.0,39829.0,T Helper Cell,8
5017.0,39832.0,T Helper Cell,8
5161.0,40102.0,T Helper Cell,8
4628.0,40337.0,T Helper Cell,8
4618.0,40352.0,T Helper Cell,8
4765.0,40481.0,T Helper Cell,8
5117.0,40324.0,T Helper Cell,8
5134.0,40330.0,T Helper Cell,8
5120.0,40334.0,T Helper Cell,8
5345.0,40384.0,T Helper Cell,8
4697.0,39698.0,T Helper Cell,8
4627.0,39700.0,T Helper Cell,8
4774.0,39700.0,T Helper Cell,8
4558.0,39709.0,T Helper Cell,8
4604.0,39704.0,T Helper Cell,8
4741.0,39708.0,T Helper Cell,8
4599.0,39714.0,T Helper Cell,8
4620.0,39711.0,T Helper Cell,8
4574.0,39717.0,T Helper Cell,8
4564.0,39719.0,T Helper Cell,8
4671.0,39716.0,T Helper Cell,8
4783.0,39718.0,T Helper Cell,8
4594.0,39721.0,T Helper Cell,8
4764.0,39720.0,T Helper Cell,8
4550.0,39724.0,T Helper Cell,8
4580.0,39722.0,T Helper Cell,8
4745.0,39729.0,T Helper Cell,8
4567.0,39736.0,T Helper Cell,8
4513.0,39736.0,T Helper Cell,8
4530.0,39743.0,T Helper Cell,8
4758.0,39744.0,T Helper Cell,8
4548.0,39746.0,T Helper Cell,8
4726.0,39751.0,T Helper Cell,8
4783.0,39757.0,T Helper Cell,8
4759.0,39765.0,T Helper Cell,8
4897.0,39767.0,T Helper Cell,8
4520.0,39776.0,T Helper Cell,8
4500.0,39778.0,T Helper Cell,8
4834.0,39781.0,T Helper Cell,8
4802.0,39786.0,T Helper Cell,8
4785.0,39796.0,T Helper Cell,8
4501.0,39800.0,T Helper Cell,8
4920.0,39969.0,T Helper Cell,8
4913.0,39982.0,T Helper Cell,8
4502.0,39985.0,T Helper Cell,8
4904.0,39996.0,T Helper Cell,8
4889.0,40005.0,T Helper Cell,8
4911.0,40020.0,T Helper Cell,8
4879.0,40017.0,T Helper Cell,8
4928.0,40017.0,T Helper Cell,8
4869.0,40022.0,T Helper Cell,8
4895.0,40026.0,T Helper Cell,8
4916.0,40031.0,T Helper Cell,8
4838.0,40041.0,T Helper Cell,8
4911.0,40051.0,T Helper Cell,8
4681.0,40050.0,T Helper Cell,8
4894.0,40053.0,T Helper Cell,8
4842.0,40058.0,T Helper Cell,8
4951.0,40056.0,T Helper Cell,8
4662.0,40059.0,T Helper Cell,8
4700.0,40063.0,T Helper Cell,8
4664.0,40068.0,T Helper Cell,8
4687.0,40070.0,T Helper Cell,8
4695.0,40072.0,T Helper Cell,8
4608.0,40074.0,T Helper Cell,8
4641.0,40085.0,T Helper Cell,8
4704.0,40083.0,T Helper Cell,8
4658.0,40087.0,T Helper Cell,8
4695.0,40091.0,T Helper Cell,8
4628.0,40088.0,T Helper Cell,8
4530.0,40093.0,T Helper Cell,8
4574.0,40096.0,T Helper Cell,8
4592.0,40112.0,T Helper Cell,8
4636.0,40126.0,T Helper Cell,8
4591.0,40133.0,T Helper Cell,8
4627.0,40140.0,T Helper Cell,8
4592.0,40175.0,T Helper Cell,8
4592.0,40190.0,T Helper Cell,8
5354.0,39578.0,T Helper Cell,8
5352.0,39586.0,T Helper Cell,8
5386.0,39594.0,T Helper Cell,8
5381.0,39594.0,T Helper Cell,8
5494.0,39606.0,T Helper Cell,8
5478.0,39636.0,T Helper Cell,8
5467.0,39702.0,T Helper Cell,8
5467.0,39713.0,T Helper Cell,8
5438.0,39716.0,T Helper Cell,8
5454.0,39719.0,T Helper Cell,8
5490.0,39718.0,T Helper Cell,8
5474.0,39721.0,T Helper Cell,8
5467.0,39735.0,T Helper Cell,8
5103.0,39732.0,T Helper Cell,8
5486.0,39738.0,T Helper Cell,8
5479.0,39750.0,T Helper Cell,8
5462.0,39754.0,T Helper Cell,8
5478.0,39766.0,T Helper Cell,8
5061.0,39763.0,T Helper Cell,8
5051.0,39764.0,T Helper Cell,8
5476.0,39777.0,T Helper Cell,8
5018.0,39774.0,T Helper Cell,8
5466.0,39784.0,T Helper Cell,8
5035.0,39792.0,T Helper Cell,8
5465.0,39805.0,T Helper Cell,8
5480.0,39811.0,T Helper Cell,8
5497.0,39942.0,T Helper Cell,8
5467.0,40029.0,T Helper Cell,8
5028.0,40028.0,T Helper Cell,8
5472.0,40030.0,T Helper Cell,8
5025.0,40041.0,T Helper Cell,8
4970.0,40040.0,T Helper Cell,8
5496.0,40039.0,T Helper Cell,8
5299.0,40046.0,T Helper Cell,8
5261.0,40047.0,T Helper Cell,8
5286.0,40051.0,T Helper Cell,8
5025.0,40053.0,T Helper Cell,8
5309.0,40052.0,T Helper Cell,8
5467.0,40055.0,T Helper Cell,8
4964.0,40053.0,T Helper Cell,8
