x,y,Celltype,Celltype_asNumeric
11550.0,13592.0,T Helper Cell,10
11547.0,13603.0,T Helper Cell,10
11973.0,13517.0,T Helper Cell,10
11980.0,13530.0,T Helper Cell,10
11963.0,13562.0,T Helper Cell,10
11957.0,13583.0,T Helper Cell,10
11597.0,13584.0,T Helper Cell,10
11557.0,14050.0,T Helper Cell,10
11508.0,14129.0,T Helper Cell,10
11547.0,14134.0,T Helper Cell,10
11538.0,14337.0,T Helper Cell,10
12106.0,13621.0,T Helper Cell,10
12091.0,13625.0,T Helper Cell,10
12042.0,13650.0,T Helper Cell,10
11618.0,13655.0,T Helper Cell,10
12079.0,13692.0,T Helper Cell,10
12157.0,13709.0,T Helper Cell,10
12167.0,13712.0,T Helper Cell,10
11689.0,13725.0,T Helper Cell,10
11668.0,13742.0,T Helper Cell,10
11690.0,13742.0,T Helper Cell,10
12284.0,13767.0,T Helper Cell,10
11703.0,13768.0,T Helper Cell,10
12274.0,13772.0,T Helper Cell,10
11791.0,13770.0,T Helper Cell,10
11811.0,13778.0,T Helper Cell,10
11708.0,13784.0,T Helper Cell,10
11793.0,13788.0,T Helper Cell,10
11729.0,13787.0,T Helper Cell,10
12326.0,13792.0,T Helper Cell,10
11699.0,13801.0,T Helper Cell,10
11712.0,13803.0,T Helper Cell,10
11671.0,13812.0,T Helper Cell,10
11685.0,13810.0,T Helper Cell,10
11751.0,13810.0,T Helper Cell,10
12213.0,13828.0,T Helper Cell,10
11884.0,13832.0,T Helper Cell,10
11943.0,13866.0,T Helper Cell,10
12188.0,13883.0,T Helper Cell,10
11686.0,13882.0,T Helper Cell,10
12146.0,13954.0,T Helper Cell,10
11858.0,13958.0,T Helper Cell,10
11910.0,14014.0,T Helper Cell,10
11724.0,14061.0,T Helper Cell,10
11742.0,14059.0,T Helper Cell,10
12156.0,14102.0,T Helper Cell,10
12143.0,14109.0,T Helper Cell,10
11629.0,14108.0,T Helper Cell,10
11986.0,14206.0,T Helper Cell,10
11997.0,14207.0,T Helper Cell,10
11953.0,14222.0,T Helper Cell,10
12098.0,14273.0,T Helper Cell,10
11988.0,14280.0,T Helper Cell,10
11992.0,14279.0,T Helper Cell,10
11596.0,14282.0,T Helper Cell,10
11607.0,14283.0,T Helper Cell,10
11592.0,14303.0,T Helper Cell,10
12098.0,14345.0,T Helper Cell,10
12095.0,14358.0,T Helper Cell,10
12113.0,14367.0,T Helper Cell,10
12084.0,14381.0,T Helper Cell,10
12076.0,14395.0,T Helper Cell,10
11962.0,14401.0,T Helper Cell,10
12440.0,13647.0,T Helper Cell,10
12498.0,13654.0,T Helper Cell,10
12475.0,13658.0,T Helper Cell,10
12442.0,13660.0,T Helper Cell,10
12479.0,13665.0,T Helper Cell,10
