x,y,Celltype,Celltype_asNumeric
15989.0,22561.0,T Helper Cell,10
16130.0,22643.0,T Helper Cell,10
16088.0,22687.0,T Helper Cell,10
16043.0,22815.0,T Helper Cell,10
15655.0,23156.0,T Helper Cell,10
15790.0,23249.0,T Helper Cell,10
15736.0,23253.0,T Helper Cell,10
15801.0,23260.0,T Helper Cell,10
16286.0,23032.0,T Helper Cell,10
16295.0,23379.0,T Helper Cell,10
15668.0,22657.0,T Helper Cell,10
15700.0,22831.0,T Helper Cell,10
15607.0,22875.0,T Helper Cell,10
15776.0,22892.0,T Helper Cell,10
15599.0,22893.0,T Helper Cell,10
15722.0,22910.0,T Helper Cell,10
15781.0,22914.0,T Helper Cell,10
15829.0,22913.0,T Helper Cell,10
15747.0,22915.0,T Helper Cell,10
16072.0,22536.0,T Helper Cell,10
16119.0,22561.0,T Helper Cell,10
16087.0,22561.0,T Helper Cell,10
16336.0,22603.0,T Helper Cell,10
16104.0,22628.0,T Helper Cell,10
16167.0,22664.0,T Helper Cell,10
16285.0,22693.0,T Helper Cell,10
16242.0,22708.0,T Helper Cell,10
16260.0,22720.0,T Helper Cell,10
16361.0,22722.0,T Helper Cell,10
16096.0,22723.0,T Helper Cell,10
16183.0,22723.0,T Helper Cell,10
16107.0,22729.0,T Helper Cell,10
16364.0,22738.0,T Helper Cell,10
16159.0,22734.0,T Helper Cell,10
16265.0,22736.0,T Helper Cell,10
16106.0,22744.0,T Helper Cell,10
16296.0,22742.0,T Helper Cell,10
16367.0,22749.0,T Helper Cell,10
16215.0,22744.0,T Helper Cell,10
16319.0,22752.0,T Helper Cell,10
16121.0,22762.0,T Helper Cell,10
16314.0,22764.0,T Helper Cell,10
16161.0,22769.0,T Helper Cell,10
16209.0,22766.0,T Helper Cell,10
16222.0,22767.0,T Helper Cell,10
16361.0,22774.0,T Helper Cell,10
16344.0,22768.0,T Helper Cell,10
16327.0,22771.0,T Helper Cell,10
16244.0,22776.0,T Helper Cell,10
16348.0,22780.0,T Helper Cell,10
16356.0,22792.0,T Helper Cell,10
16240.0,22793.0,T Helper Cell,10
16327.0,22792.0,T Helper Cell,10
16309.0,22791.0,T Helper Cell,10
16322.0,22808.0,T Helper Cell,10
16117.0,22807.0,T Helper Cell,10
16283.0,22805.0,T Helper Cell,10
16259.0,22807.0,T Helper Cell,10
16349.0,22809.0,T Helper Cell,10
16094.0,22812.0,T Helper Cell,10
16318.0,22826.0,T Helper Cell,10
16345.0,22832.0,T Helper Cell,10
16254.0,22839.0,T Helper Cell,10
16033.0,22839.0,T Helper Cell,10
16341.0,22847.0,T Helper Cell,10
16362.0,22844.0,T Helper Cell,10
16046.0,22846.0,T Helper Cell,10
16279.0,22844.0,T Helper Cell,10
16070.0,22854.0,T Helper Cell,10
16301.0,22855.0,T Helper Cell,10
16315.0,22857.0,T Helper Cell,10
16156.0,22870.0,T Helper Cell,10
16355.0,22874.0,T Helper Cell,10
16269.0,22868.0,T Helper Cell,10
16058.0,22873.0,T Helper Cell,10
16073.0,22876.0,T Helper Cell,10
16168.0,22873.0,T Helper Cell,10
